"","id","t","marca","A","B","C","D","E","F","G"
"203",106,153,5,7,3.57,0,0,0,4.175,0.3
"204",106,234,1,10.96,3.57,0,0,0,4.175,0.3
"205",106,302,1,11.98,3.57,0,0,0,4.175,0.3
"206",107,92,1,12.61,2.93,0,0,0,6.02,0
"207",107,102,1,13.9,6.285,1.305,0,0,6.02,0
"208",107,128,7,15.06,10.085,3.465,0,0,6.02,0
"209",107,167,2,17.08,10.085,3.465,0,3.3,9,0
"210",107,244,1,26.2,11.075,3.465,2.56,3.3,10.11,0
"211",107,314,1,27.61,11.075,3.465,2.56,3.3,11.19,0
"212",108,151,2,5.08,5.06,4.26,1.95,0,0.1,0
"213",109,37,1,7.4,1.27,0,0.84,0,1.45,0
"214",109,85,1,9.73,1.27,0,0.84,0,1.98,0
"215",109,111,1,13.06,2.56,0,0.84,0,1.98,0
"216",109,159,1,16.23,3.87,4.85,0.84,2.87,5.87,0
"217",109,226,1,21.14,5.46,4.85,0.84,6.86,5.87,0
"218",111,0,6,1.55,0,0,0,2.81,2.6,0
