"","id","bloque","defi_estim","estim","num_estim","error","cong","latencia"
"1204",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Egoista",17,0,0,547
"1205",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Foto Pepsi",18,0,0,594
"1206",9,"7","Coca Cola/Atributos positivos,Pepsi/Atributos negativos","Egoista",19,1,0,695
"1207",10,"1","Coca Cola,Pepsi","Foto Coke",0,0,0,1132
"1208",10,"1","Coca Cola,Pepsi","Foto Pepsi",1,0,0,854
"1209",10,"1","Coca Cola,Pepsi","Foto Pepsi",2,0,0,714
"1210",10,"1","Coca Cola,Pepsi","Foto Pepsi",3,0,0,670
"1211",10,"1","Coca Cola,Pepsi","Foto Pepsi",4,0,0,790
"1212",10,"1","Coca Cola,Pepsi","Foto Pepsi",5,0,0,784
"1213",10,"1","Coca Cola,Pepsi","Foto Pepsi",6,0,0,949
"1214",10,"1","Coca Cola,Pepsi","Foto Pepsi",7,0,0,1126
"1215",10,"1","Coca Cola,Pepsi","Foto Coke",8,0,0,636
"1216",10,"1","Coca Cola,Pepsi","Foto Coke",9,0,0,564
"1217",10,"1","Coca Cola,Pepsi","Foto Coke",10,0,0,656
"1218",10,"1","Coca Cola,Pepsi","Foto Coke",11,0,0,657
"1219",10,"1","Coca Cola,Pepsi","Foto Coke",12,0,0,716
"1220",10,"1","Coca Cola,Pepsi","Foto Coke",13,0,0,738
"1221",10,"2","Atributos negativos,Atributos positivos","Alegre",0,0,0,960
"1222",10,"2","Atributos negativos,Atributos positivos","Deshonesta",1,0,0,667
"1223",10,"2","Atributos negativos,Atributos positivos","Solidaria",2,0,0,601
"1224",10,"2","Atributos negativos,Atributos positivos","Aburrida",3,0,0,620
"1225",10,"2","Atributos negativos,Atributos positivos","Amistosa",4,0,0,603
"1226",10,"2","Atributos negativos,Atributos positivos","Desagradable",5,0,0,659
"1227",10,"2","Atributos negativos,Atributos positivos","Comprometida",6,0,0,557
"1228",10,"2","Atributos negativos,Atributos positivos","Amistosa",7,0,0,694
"1229",10,"2","Atributos negativos,Atributos positivos","Alegre",8,0,0,589
"1230",10,"2","Atributos negativos,Atributos positivos","Egoista",9,0,0,633
"1231",10,"2","Atributos negativos,Atributos positivos","Aburrida",10,0,0,647
"1232",10,"2","Atributos negativos,Atributos positivos","Desagradable",11,0,0,625
"1233",10,"2","Atributos negativos,Atributos positivos","Comprometida",12,0,0,599
"1234",10,"2","Atributos negativos,Atributos positivos","Egoista",13,0,0,664
"1235",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",0,0,0,896
"1236",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Aburrida",1,0,0,772
"1237",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",2,0,0,777
"1238",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Egoista",3,0,0,793
"1239",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",4,0,0,772
"1240",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Deshonesta",5,0,0,729
"1241",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",6,0,0,896
"1242",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Desagradable",7,0,0,743
"1243",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",8,0,0,796
"1244",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Deshonesta",9,0,0,737
"1245",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",10,0,0,815
"1246",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Solidaria",11,0,0,671
"1247",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",12,0,0,688
"1248",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Amistosa",13,0,0,716
"1249",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",14,0,0,799
"1250",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Alegre",15,1,0,1584
"1251",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",16,0,0,812
"1252",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Comprometida",17,0,0,600
"1253",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",18,0,0,743
"1254",10,"3","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Solidaria",19,1,0,1453
"1255",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",0,0,0,867
"1256",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Aburrida",1,0,0,665
"1257",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",2,0,0,638
"1258",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Egoista",3,0,0,687
"1259",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",4,0,0,591
"1260",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Desagradable",5,0,0,487
"1261",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",6,0,0,765
"1262",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Solidaria",7,0,0,617
"1263",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",8,0,0,806
"1264",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Deshonesta",9,0,0,669
"1265",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Pepsi",10,1,0,1168
"1266",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Deshonesta",11,0,0,1313
"1267",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Foto Coke",12,0,0,888
"1268",10,"4","Coca Cola/Atributos negativos,Pepsi/Atributos positivos","Comprometida",13,0,0,746
